"","GSM971829","GSM971830","GSM971831","GSM971832","GSM971833","GSM971834","GSM971835","GSM971836","GSM971837","GSM971838","GSM971839","GSM971840","GSM971841"
"hsa-miR-1257",14.0484581,14.40233612,14.12783241,14.06013298,13.53500175,14.60219765,14.58081055,14.91900826,14.64173698,14.31853867,14.19684601,13.76735306,14.34071159
"hsa-miR-1259",14.0484581,14.40233612,14.12783241,14.06013298,13.53500175,14.60219765,14.58081055,14.91900826,14.64173698,14.31853867,14.19684601,13.76735306,14.34071159
"hsa-miR-1263",14.0484581,14.40233612,14.12783241,14.06013298,13.53500175,14.60219765,14.58081055,14.91900826,14.64173698,14.31853867,14.19684601,13.76735306,14.34071159
"hsa-miR-1264",14.0484581,14.40233612,14.12783241,14.06013298,13.53500175,14.60219765,14.58081055,14.91900826,14.64173698,14.31853867,14.19684601,13.76735306,14.34071159
"hsa-miR-1269",14.0484581,14.40233612,14.12783241,14.06013298,13.53500175,14.60219765,14.58081055,14.91900826,14.64173698,14.31853867,14.19684601,13.76735306,14.34071159
"hsa-miR-1272",14.0484581,14.40233612,14.12783241,14.06013298,13.53500175,14.60219765,14.58081055,14.91900826,14.64173698,14.31853867,14.19684601,13.76735306,14.34071159
"hsa-miR-1283",14.0484581,14.40233612,14.12783241,14.06013298,13.53500175,14.60219765,14.58081055,14.91900826,14.64173698,14.31853867,14.19684601,13.76735306,14.34071159
"hsa-miR-1284",14.0484581,14.40233612,14.12783241,14.06013298,13.53500175,14.60219765,14.58081055,14.91900826,14.64173698,14.31853867,14.19684601,13.76735306,14.34071159
"hsa-miR-1285",14.0484581,14.40233612,14.12783241,14.06013298,13.53500175,14.60219765,14.58081055,14.91900826,14.64173698,14.31853867,14.19684601,13.76735306,14.34071159
"hsa-miR-1286",14.0484581,14.40233612,14.12783241,14.06013298,13.53500175,14.60219765,14.58081055,14.91900826,14.64173698,14.31853867,14.19684601,13.76735306,14.34071159
"hsa-miR-1288",14.0484581,14.40233612,14.12783241,14.06013298,13.53500175,14.60219765,14.58081055,14.91900826,14.64173698,14.31853867,14.19684601,13.76735306,14.34071159
