"","GSM3597761","GSM3597762","GSM3597763","GSM3597764","GSM3597765","GSM3597766","GSM3597767","GSM3597768","GSM3597769","GSM3597770","GSM3597771","GSM3597772","GSM3597773","GSM3597774","GSM3597775","GSM3597776","GSM3597777","GSM3597778","GSM3597779","GSM3597780","GSM3597781","GSM3597782"
"hsa-miR-1270",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1271-3p",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1271-5p",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1272",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1273a",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1273c",-5.868042,-6.4691525,0,0,0,-8.416856,-2.803125,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1273d",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1273e",-5.868042,-6.4691525,0,0,0,-8.416856,-3.8063781,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1273f",-1.2071477,-6.4691525,0,0,0,0.43173265,-1.8094454,0,0,0,0,0,0,0,0,0.5396185,0,0,0,0,0,0
"hsa-miR-1273g-3p",-0.46468234,-0.5640881,0,4.4187026,5.5107718,4.5984125,3.0385342,0,0,0,0,0,4.6219697,0,0,4.572847,7.0192013,8.832022,0,0,0,0
"hsa-miR-1273g-5p",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1275",5.4005303,4.7884903,0,8.935854,8.796692,4.5149117,3.1514883,0,0,0,0,0,7.490936,0,0,2.9823122,8.306326,7.000428,6.0853186,10.604418,0,0
"hsa-miR-1276",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1277-3p",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1278",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1279",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-128",-5.868042,-6.4691525,0,0,0,-8.416856,-0.12821102,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1281",-5.868042,-6.4691525,0,0,0,-0.9189353,-4.429511,0,0,0,5.4873514,5.059368,0,0,0,-0.8841834,0,0,0,0,4.1298103,5.415596
"hsa-miR-1282",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1283",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1284",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1285-3p",-5.868042,-6.4691525,0,0,0,-8.416856,-3.988475,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1285-5p",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1286",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1287",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1288",-5.868042,-6.4691525,0,0,0,-8.416856,-2.173975,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1289",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-129-1-3p",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-129-2-3p",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
